sentence_no,word,word_transl,adp_case,scene_role,fn_role,
,Quibus,,,EXPLANATION,LOCATION,
,in,,,EXPLANATION,,
,rebus,,,EXPLANATION,,
,mihi,,,EXPERIENCER,REFERENCE,
,ignoscendum,,,,,
,est.,,,,,
,,,,,,
,Nam,,,,,
,amicus,,,,,
,meus,,,,,
,nihil,,,,,
,unquam,,,,,
,explanabat.,,,,,
,,,,,,
,Me,,,,,
,fortasse,,,,,
,sui,,,REFERENCE,REFERENCE,
,similem,,,,,
,esse,,,,,
,arbitrabatur.,,,,,
,,,,,,
,At,,,,,
,ego,,,,,
,miser,,,,,
,oves,,,,,
,per,through,,LOCUS,PATH,
,parietes,walls,,,,
,arcarum,of the boxes,,WHOLE,POSSESSOR,
,dispicere,,,,,
,nescio.,,,,,
,,,,,,
,Fortasse,,,,,
,mihi,,,EXPERIENCER,REFERENCE,
,cum,,,REFERENCE,ANCILLARY,
,adultis,,,,,
,hominibus,,,,,
,nonnulla,,,,,
,similitudo,,,,,
,est.,,,,,
,,,,,,
,Nescio,,,,,
,an,,,,,
,consenuerim.,,,,,
,,,,,,
,V,,,,,
,,,,,,
Sentence 1,QUOTIDIE,every day,,,,
"Every day I was thinking about that star, about the departure, about the journey.",ALIQUA,"someone, some thing, a certain",,,,
,de,about,PREPOSITION,TOPIC,SOURCE,
,stella,star,ABLATIVE (with prep),,,
,"illa,",that,,,,
,de,about,PREPOSITION,TOPIC,SOURCE,
,"profectione,","setting out, departure",ABLATIVE (with prep),,,
,de,about,PREPOSITION,TOPIC,SOURCE,
,itinere,journey,ABLATIVE (with prep),,,
,cognoscebam.,I was thinking,,,,
,,,,,,
Sentence 2,Ea,things,,,,
"Things were flowing bit by bit, just as the speech was producing.",minutatim,bit by bit,,,,
,"manabant,","were flowing, pouring",,,,
,prout,"ADV- according as, in proportion as, inasmuch as",,,,
,sermo,"speech, talk",,,,
,ferebat.,"was bringing, carrying, producing, bringing forth",,,,
,,,,,,
Sentence 3,Sic,in this way,,,,
"In this way, on the third day, I heard the cruelest things about the baobabs.",tertio,third,,,,
,die,on the day,ABLATIVE,TIME,TIME,"""For simplicity and practicality, we elect not to annotate LOCUS, PATH, or EXTENT construals on ordinary temporal adpositions (81)."
,de,about,PREPOSITION,TOPIC,SOURCE,
,adansoniis,baobabs,ABLATIVE (with prep),,,
,atrocissima,the cruelest (things),,,,
,audivi.,I heard,,,,
,,,,,,
Sentence 4,Quam,"which, this",,,,
"The sheep gave this opportunity anew, for the little prince suddenly asked me, as if he was uncertain about a serious matter.",occasionem,"opportunity, right/appropriate time",,,,
,ovis,"4th fem, sheep",,,,
,denuo," adv: anew, afresh, again",,,,
,dedit;,it gave,,,,
,nam,for,,,,
,repente,"suddenly, unexpectedly (ADV)",,,,
,regulus,the little prince,,,,
,me,me,,,,
,"interrogavit,",asked,,,,
,quasi,as if,,,,
,de,about,PREPOSITION,TOPIC,SOURCE,
,re,"a matter, thing",ABLATIVE (with prep),,,
,gravi,"heavy, serious, grave",,,,
,dubitaret.,"he was doubting, being uncertain",,,,
,,,,,,
Sentence 5,REG.,,,,,
REG:,–,,,,,
"Without doubt, was it the truth, that the sheep feed on shrubs?",Nempe,"CONJ: without doubt, why, clearly, admittedly",,,,
,id,it,,,,
,verum,truth,,,,
,"est,",was,,,,
,oves,sheep,,,,"subject of indirect statement (accusative, main verb is infinitive)"
,arbusculis,"f: on shrubs, saplings",ABLATIVE,THEME,LOCUS,"""Feed on"" seems like a verbal lemma to me, not strictly a prep phrase with the object ""shrubs"", or ""grass"" maybe."
,vesci?,"dep inf: take food, eat, enjoy, feed on ",,,,Wiktionary: with accusative or ablative
,,,,,,
Sentence 6,A.,,,,,
"A: It is thus, as you say.",–,,,,,
,Ita,thus,,,,
,est,it is,,,,
,ut,as,,,,
,dicis.,you say,,,,
,,,,,,
Sentence 7,REG.,,,,,
REG: Certainly I rejoice!,–,,,,,
,Sane,certainly,,,,
,gaudeo!,I rejoice,,,,
,,,,,,
Sentence 8,Non,not,,,,
I did not understand why ,intellexi,I understood,,,,
,cur,why,,,,
,tanti,so great,,,,Not sure why this is in plural..
,esset,it was ,,,,
,oves,sheep,,,,
,arbusculis,on shrubs,ABLATIVE,THEME,LOCUS,
,vesci.,to feed on,,,,
,,,,,,
Sentence 9,Ille,,,,,
He (spoke) again: REG: Therefore they also feed on baobabs?,porro:,"onward, further off, further, besides, again",,,,
,REG.,,,,,
,–,,,,,
,Ergo,therefore,,,,
,andansoniis,on baobabs,ABLATIVE,THEME,LOCUS,
,quoque,also,,,,
,vescuntur?,they feed on,,,,
,,,,,,
Sentence 10,Regulum,the little prince (ACC),,,,
"I warned the little prince that he should observe that baobabs are not shrubs, but trees that are equal in height to our temples, even if he were to carry away the whole herd of elephants with himself, (he should observe) that that flock will not consume one baobab.",monui,I warned,,,,
,ut,that ,,,,ut + indirect command (imperfect subjunctive)
,animadverteret,he should observe,,,,
,adansonias,baobabs,,,,acc-marked subject of Indirect Statement
,non,not ,,,,
,arbusculas,shrubs,,,,
,"esse,","to be, is",,,,
,sed,but,,,,
,arbores,trees (ACC),,,,
,templis,to temples,DATIVE,COMPARISONREF,RECIPIENT,"If there was a verb, the dative indirect object would default to a RECIPIENT reading, most often..."
,nostris,to our,,,,
,altitudine,"in the height, loftiness, profundity",,CHARACTERISTIC,"???: LOCUS, INSTRUMENT",
,pares:,equal (modifies arbores),,,,
,etiamsi,"even if, although",,,,
,gregem,"flock, herd (grex, gregis m)",,,,
,totum,whole,,,,
,elephantorum,of elephants,GENITIVE,STUFF,POSSESSOR,
,secum,with himself,PREPOSITION + ABLATIVE,ANCILLARY,ANCILLARY,"""cum"" is comitative, means ""with"" in this context."
,"asportaret,","carries away, removes",,,,
,gregem,"flock, herd (grex, gregis m)",,,,
,illum,that ,,,,
,non,non,,,,
,unam,one,,,,
,adansoniam,baobabs,,,,
,consumpturum,about to be consumed (Future Active Participle),,,,
,esse.,"to be, is",,,,
,,,,,,
Sentence 11,Grex,the herd,,,,
The herd of elephants evoked a laugh from the little prince.,elephantorum,of elephants,GENITIVE,STUFF,POSSESSOR,
,regulo,from the little prince,ABLATIVE,SOURCE,"???: SOURCE, INSTRUMENT, LOCUS","""movit"" biases me towards a source meaning, because there is a movement from a source. otherwise ""in"" could be an acceptable reading, with a different verb."
,risum,a laugh,,,,
,movit:,"moved, stirred",,,,
,,,,,,
Sentence 12,REG.,,,,,
"REG: Others must be placed onto/upon others, he says",–,,,,,
,Alii,others,,,,
,in,onto,PREPOSITION,GOAL,GOAL,"in + accusative is always ""into"" or ""onto"", not ""in"" or ""on"""
,alios,others,ACCUSATIVE (with PREP),,,
,imponendi," must be imposed, assigned, put upon or in",,,,gerundive + passive periphrastic
,"sunt,",are / must,,,,
,inquit…,says,,,,
,,,,,,
Sentence 13,Sed,but,,,,
But he wisely warned this:,prudenter,wisely,,,,
,haec,this,,,,
,admonuit:,he warned,,,,
,,,,,,
Sentence 14,REG.,,,,,
"Before baobabs raise themselves more highly, they begin to be lowly.",–,,,,,
,Adansoniae,Baobabs,,,,
,priusquam,before (time-wise),,,,
,se,themselves,,,,
,altius,more highly,,,,
,tollant,they raise,,,,
,humiles,"lowly, low-lying, humble",,,,
,esse,to be,,,,
,incipiunt.,begin,,,,
,,,,,,
Sentence 15,A.,,,,,
A: You speak correctly! But why do you wish the sheep to feed on lowly baobabs?,–,,,,,
,Recte,correctly,,,,
,dicis!,you speak,,,,
,Sed,but,,,,
,cur,why,,,,
,oves,sheep,,,,
,humilibus,lowly,,,,
,adansoniis,baobabs,ABLATIVE,THEME,LOCUS,
,vesci,feed on,,,,
,vis?,do you wish,,,,
,,,,,,
Sentence 16,REG.,,,,,
Regulus: What! Do you understand?,–,,,,,
,Quid!,What!,,,,
,Sapisne?,Do you understand?,,,,
,,,,,,
Sentence 17,Haec,this,,,,
He had responded this to me as if he was acting about a clear matter,mihi,to me,DATIVE,RECIPIENT,RECIPIENT,
,responderat,he had responded,,,,
,quasi,as if,,,,
,de,about,PREPOSITION,,,
,re,a matter,ABLATIVE (with PREP),,,
,perspicua,"clear, evident",,,,
,ageretur.,"was urging, driving, delivering, acting",,,,
,,,,,,
Sentence 18,Mihi,"of me, my",DATIVE,POSSESSOR,RECIPIENT,
"Truly there was an effort to exert all the strengths of my mind, in order that I myself would understand that through me (alone).",vero,truly,,,,
,omnes,all,,,,
,nervos,"nerves, strengths",,,,
,mentis,of the mind,GENITIVE,POSSESSOR,POSSESSOR,
,contendere,"to fight, strain, exert",,,,
,opus,"a work, an effort",,,,
,fuit,was,,,,
,ut,in order to,,,,
,ipse,I myself,,,,
,per,through,PREPOSITION,MEANS,,
,me,me,ACCUSATIVE (with PREP),PATH,,"""The ground that must be covered in order for the motion to be complete."" (22)"
,illud,that,,,,
,intellegerem.,I would understand,,,,
,,,,,,
Sentence 19,Namque,Certainly,,,,
"Certainly on the little prince's star, as on remaining stars, useful and unuseful plants wander, and therefore useful seeds of useful plants and unuseful seeds of unuseful plants.",in,in / on,PREPOSITION,LOCUS,LOCUS,
,stella,the star,ABLATIVE (with PREP),,,
,"reguli,",of the little prince,GENITIVE,POSSESSOR,POSSESSOR,
,ut,as,,,,
,in,on ,PREPOSITION,LOCUS,LOCUS,
,stellis,stars,ABLATIVE(with PREP),,,
,"ceteris,",remaining,,,,
,utiles,useful,,,,
,et,and,,,,
,inutiles,unuseful,,,,
,herbae,herbs,,,,
,"errant,","wander, err",,,,
,ergo,therefore,,,,
,et,and,,,,
,utilia,useful,,,,
,utilium,of useful,,,,
,herbarum,of herbs,,WHOLE,,
,et,,,,,
,inutilia,unuseful,,,,
,inutilium,of unuseful,,,,
,herbarum,of herbs,,WHOLE,,
,semina.,seeds,,,,
,,,,,,
Sentence 20,Latent,they lurk,,,,
"However the seeds lurk and they sleep, having been hidden inwardly in the earth, for as long as it is pleasing for anyone of those to awake",autem,however,,,,
,semina,seeds,,,,
,et,and,,,,
,in,in,PREPOSITION,LOCUS,LOCUS,
,terra,the earth,ABLATIVE (with PREP),,,
,penitus,inwardly (ADV),,,,
,occultata,having been kept hidden / concealed,,,,
,"dormiunt,",sleep,,,,
,quoad,"until, as far as, as long as",,,,
,alicui,for anyone,DATIVE,EXPERIENCER,RECIPIENT,
,eorum,of those,GENITIVE,,,
,expergisci,"to awake, bestir oneself (dep)",,,,
,libeat.,it is pleasing (subj),,,,
,,,,,,
Sentence 21,Tum,then,,,,
Then truly it extends itself and begins to bring forth both a charming and unwarlike sprout towards the sun. ,vero,truly,,,,
,se,itself,,,,
,pandit,"spread out, extend, unfold",,,,
,et,both a (construction),,,,
,surculum,"twig, sprout, graft",,,,
,lepidum,"agreeable, charming , delightful, amusing",,,,
,et,and,,,,
,imbellem,unwarlike,,,,
,ad,towards,PREPOSITION,GOAL,GOAL,
,solem,the sun,ACCUSATIVE (with PREP),,,
,proferre,"bring forth, extend, produce",,,,
,incipit.,begins,,,,
,,,,,,
Sentence 22,Qui,Which,,,,
"Which sprout, if it is of a radish or of a rose, it is allowed to grow as it is pleasing to it",surculus,sprout,,,,
,si,if,,,,
,raphani,of a radish,GENITIVE,WHOLE,POSSESSOR,
,rosaeve,or of a rose,GENITIVE,WHOLE,POSSESSOR,"ve = ""vel"""
,"est,",is,,,,
,ei,to it,DATIVE,EXPERIENCER,RECIPIENT,
,ut,as ,,,,
,libet,it is pleasing,,,,
,crescere,to grow,,,,"impersonal ""it"", not referring to the sprout"
,licet.,it is allowed,,,,
,,,,,,
Sentence 23,Sin,but if,,,,
"But if it is an unseful plant, that plant must be plucked out, and also you should recognize it.",inutilis,unuseful,,,,
,herba,plant ,,,,
,"est,",it is,,,,
,evellenda,it must be plucked out,,,,
,herba,plant,,,,
,illa,that,,,,
,est,must (passive periphrastic),,,,
,simul,together,,,,
,atque,and also,,,,
,eam,it,,,,
,agnoveris.,you should recognize,,,,
,,,,,,
Sentence 24,Atqui,"but, yet, notwithstanding, however",,,,
"Yet terrible seeds wander on the little prince's star, doubtless the seeds of the baobabs.",terribilia,terrible,,,,
,semina,seeds,,,,
,in,on ,PREPOSITION,LOCUS,LOCUS,
,stella,the star,ABLATIVE (with PREP),,,
,reguli,of the little prince ,GENITIVE,POSSESSOR,POSSESSOR,
,"errant,",wander,,,,
,scilicet,"it is clear, naturally, evidently, doubtless, to be sure",,,,
,semina,seeds,,,,
,adansoniarum.,of the baobabs,GENITIVE,SPECIES,POSSESSOR,CONFIGURATION child
,,,,,,
Sentence 25,Stellae,of the star,GENITIVE,WHOLE,POSSESSOR,
The ground of the star was stuffed with them.,humus,the ground,,,,
,eis,with them,ABLATIVE,THEME,COMITATIVE??? MEANS/INSTRUMENT???,
,refertissima,stuffed,,,,
,erat.,was,,,,
,,,,,,
Sentence 26,Ab,from,PREPOSITION,SOURCE,SOURCE,
"From the baobab however, if you are too much endowed (with them), you should now cleanse your star by no reason.",adansonia,the baobab (abl),ABLATIVE (with PREP),,,
,"autem,",however,,,,
,si,if,,,,
,nimis,"too much, exceedingly (ADV)",,,,
,moratus,endowed,,,,
,"sis,",you are,,,,
,stellam,star,,,,
,tuam,your,,,,
,nulla,none,,,,
,jam,now,,,,
,ratione,"account, reason, method",ABLATIVE,MEANS,MEANS,
,purges.,"you clean, cleanse (subj)",,,,
,,,,,,
Sentence 27,Quam,which,,,,
It will both occupy the entirety and pierce through it with its roots,totam,whole,,,,
,et,and,,,,
,obsidet,it will occupy,,,,
,et,and,,,,
,radicibus,with the roots,ABLATIVE,INSTRUMENT,INSTRUMENT,
,perfodit.,dig / pierce through,,,,
,,,,,,
Sentence 28,Ac,and,,,,
"And if the star is too small and the baobabs too many, they (the baobabs) will shatter it.",si,if,,,,
,stella,star,,,,
,nimis,too much (ADV),,,,
,parva,small,,,,
,est,is,,,,
,et,and ,,,,
,adansoniae,the baobabs,,,,
,nimis,too much (ADV),,,,
,"multae,",many,,,,
,eam,it,,,,
,dirumpunt.,"shatter, break apart, burst",,,,
,,,,,,
Sentence 29,Postea,"Hereafter, thereafter",,,,
